Pressure [Pa]	Gas Volume Fraction [-]	Oil Volume Fraction [-]	Water Volume Fraction [-]	Mixture Velocity [m/s]	Gas Velocity [m/s]	Oil Velocity [m/s]	Water Velocity [m/s]
1000000	0.4999205003	0	0.5000794988	0.9527061253	0.04936535011	0.9578020802	0.9569141924
1000165.06	0.4999205003	0	0.5000794997	0.9526997584	0.04936222756	0.9577965334	0.956908505
1000175.139	0.4999282437	0	0.5000717563	0.952707654	0.0493584647	0.9578046724	0.9569166277
1000185.213	0.4999354693	0	0.5000645307	0.9527142162	0.04935393947	0.9578114653	0.9569234055
1000195.289	0.4999415299	0	0.5000584701	0.9527185681	0.04934867805	0.9578160195	0.9569279467
1000205.366	0.4999461292	0	0.5000538708	0.9527203572	0.04934274656	0.957817975	0.9569298916
1000215.446	0.4999492482	0	0.5000507518	0.952719625	0.04933622085	0.957817373	0.9569292813
1000225.527	0.4999510402	0	0.5000489598	0.9527166466	0.04932916985	0.9578144924	0.9569263945
1000235.611	0.4999517373	0	0.5000482627	0.9527117947	0.04932164878	0.9578097116	0.9569216093
1000245.697	0.4999515855	0	0.5000484145	0.9527054482	0.04931369835	0.9578034154	0.9569153101
1000255.784	0.4999508071	0	0.5000491929	0.9526979413	0.04930534675	0.9577959438	0.9569078365
1000265.873	0.4999495844	0	0.5000504156	0.9526895444	0.04929661253	0.9577875715	0.9568994631
1000275.963	0.4999480573	0	0.5000519427	0.9526804628	0.04928750744	0.9577785072	0.9568903983
1000286.055	0.4999463277	0	0.5000536723	0.9526708446	0.04927803855	0.9577689017	0.9568807928
1000296.148	0.499944467	0	0.500055533	0.9526607929	0.04926821	0.9577588597	0.9568707512
1000306.242	0.4999425234	0	0.5000574766	0.9526503768	0.04925802405	0.9577484515	0.9568603437
1000316.338	0.4999405286	0	0.5000594714	0.9526396413	0.04924748187	0.9577377229	0.9568496162
1000326.435	0.4999385027	0	0.5000614973	0.9526286151	0.04923658397	0.9577267032	0.9568385978
1000336.533	0.4999364583	0	0.5000635417	0.9526173159	0.04922533054	0.9577154103	0.9568273064
1000346.632	0.499934403	0	0.500065597	0.9526057542	0.04921372155	0.9577038549	0.9568157529
1000356.733	0.4999323415	0	0.5000676585	0.9525939365	0.04920175689	0.9576920436	0.9568039437
1000366.834	0.4999302764	0	0.5000697236	0.9525818663	0.0491894364	0.95767998	0.9567918823
1000376.937	0.4999282092	0	0.5000717908	0.9525695455	0.04917675988	0.9576676661	0.9567795709
1000387.041	0.4999261407	0	0.5000738593	0.9525569753	0.04916372716	0.957655103	0.9567670106
1000397.146	0.4999240715	0	0.5000759285	0.9525441562	0.04915033802	0.9576422912	0.9567542018
1000407.252	0.4999220018	0	0.5000779982	0.9525310883	0.04913659227	0.957629231	0.9567411448
1000417.36	0.4999199317	0	0.5000800683	0.9525177719	0.04912248973	0.9576159224	0.9567278396
1000427.468	0.4999178614	0	0.5000821386	0.9525042067	0.04910803018	0.9576023654	0.9567142863
1000437.578	0.4999157908	0	0.5000842092	0.9524903928	0.04909321343	0.9575885599	0.9567004847
1000447.688	0.4999137199	0	0.5000862801	0.9524763299	0.0490780393	0.9575745058	0.9566864348
1000457.8	0.4999116489	0	0.5000883511	0.9524620182	0.04906250758	0.957560203	0.9566721363
1000467.913	0.4999095777	0	0.5000904223	0.9524474572	0.04904661808	0.9575456514	0.9566575893
1000478.027	0.4999075062	0	0.5000924938	0.9524326471	0.0490303706	0.9575308508	0.9566427935
1000488.142	0.4999054346	0	0.5000945654	0.9524175876	0.04901376495	0.9575158011	0.9566277489
1000498.258	0.4999033627	0	0.5000966373	0.9524022785	0.04899680094	0.9575005021	0.9566124552
1000508.375	0.4999012907	0	0.5000987093	0.9523867199	0.04897947837	0.9574849538	0.9565969125
1000518.493	0.4998992185	0	0.5001007815	0.9523709114	0.04896179705	0.957469156	0.9565811204
1000528.612	0.4998971461	0	0.5001028539	0.9523548531	0.04894375678	0.9574531086	0.956565079
1000538.732	0.4998950735	0	0.5001049265	0.9523385447	0.04892535738	0.9574368114	0.956548788
1000548.853	0.4998930007	0	0.5001069993	0.9523219861	0.04890659866	0.9574202644	0.9565322474
1000558.976	0.4998909277	0	0.5001090723	0.9523051773	0.04888748041	0.9574034673	0.956515457
1000569.099	0.4998888546	0	0.5001111454	0.952288118	0.04886800245	0.95738642	0.9564984167
1000579.223	0.4998867813	0	0.5001132187	0.9522708082	0.04884816459	0.9573691225	0.9564811264
1000589.348	0.4998847078	0	0.5001152922	0.9522532477	0.04882796664	0.9573515746	0.9564635858
1000599.474	0.4998826341	0	0.5001173659	0.9522354364	0.0488074084	0.9573337761	0.956445795
1000609.601	0.4998805602	0	0.5001194398	0.9522173741	0.0487864897	0.957315727	0.9564277537
1000619.729	0.4998784862	0	0.5001215138	0.9521990608	0.04876521033	0.9572974271	0.9564094619
1000629.857	0.499876412	0	0.500123588	0.9521804962	0.04874357012	0.9572788763	0.9563909194
1000639.987	0.4998743377	0	0.5001256623	0.9521616804	0.04872156887	0.9572600744	0.956372126
1000650.118	0.4998722631	0	0.5001277369	0.952142613	0.04869920639	0.9572410213	0.9563530818
1000660.249	0.4998701884	0	0.5001298116	0.9521232941	0.04867648251	0.9572217169	0.9563337864
1000670.382	0.4998681136	0	0.5001318864	0.9521037235	0.04865339702	0.9572021611	0.9563142398
1000680.515	0.4998660386	0	0.5001339614	0.952083901	0.04862994976	0.9571823537	0.956294442
1000690.649	0.4998639634	0	0.5001360366	0.9520638266	0.04860614052	0.9571622947	0.9562743926
1000700.784	0.4998618881	0	0.5001381119	0.9520435001	0.04858196913	0.9571419838	0.9562540917
1000710.92	0.4998598126	0	0.5001401874	0.9520229213	0.04855743541	0.957121421	0.9562335391
1000721.057	0.499857737	0	0.500142263	0.9520020903	0.04853253917	0.9571006061	0.9562127347
1000731.194	0.4998556612	0	0.5001443388	0.9519810067	0.04850728022	0.957079539	0.9561916783
1000741.333	0.4998535853	0	0.5001464147	0.9519596706	0.04848165839	0.9570582197	0.9561703698
1000751.472	0.4998515092	0	0.5001484908	0.9519380818	0.04845567349	0.9570366479	0.9561488092
1000761.612	0.499849433	0	0.500150567	0.9519162401	0.04842932535	0.9570148235	0.9561269962
1000771.753	0.4998473566	0	0.5001526434	0.9518941454	0.04840261378	0.9569927465	0.9561049308
1000781.894	0.4998452801	0	0.5001547199	0.9518717977	0.04837553861	0.9569704167	0.9560826128
1000792.037	0.4998432035	0	0.5001567965	0.9518491968	0.04834809965	0.9569478339	0.9560600421
1000802.18	0.4998411267	0	0.5001588733	0.9518263426	0.04832029673	0.9569249981	0.9560372186
1000812.324	0.4998390498	0	0.5001609502	0.9518032349	0.04829212967	0.9569019091	0.9560141422
1000822.468	0.4998369727	0	0.5001630273	0.9517798736	0.04826359829	0.9568785669	0.9559908127
1000832.613	0.4998348956	0	0.5001651044	0.9517562587	0.04823470242	0.9568549712	0.9559672301
1000842.76	0.4998328183	0	0.5001671817	0.9517323899	0.04820544189	0.9568311221	0.9559433942
1000852.906	0.4998307408	0	0.5001692592	0.9517082673	0.04817581651	0.9568070192	0.9559193049
1000863.054	0.4998286633	0	0.5001713367	0.9516838906	0.04814582612	0.9567826627	0.955894962
1000873.202	0.4998265856	0	0.5001734144	0.9516592597	0.04811547055	0.9567580522	0.9558703656
1000883.351	0.4998245078	0	0.5001754922	0.9516343746	0.04808474961	0.9567331877	0.9558455153
1000893.501	0.4998224299	0	0.5001775701	0.951609235	0.04805366315	0.9567080692	0.9558204112
1000903.651	0.4998203518	0	0.5001796482	0.951583841	0.04802221098	0.9566826964	0.9557950531
1000913.802	0.4998182737	0	0.5001817263	0.9515581923	0.04799039295	0.9566570693	0.9557694409
1000923.953	0.4998161954	0	0.5001838046	0.9515322889	0.04795820887	0.9566311877	0.9557435745
1000934.106	0.499814117	0	0.500185883	0.9515061307	0.04792565859	0.9566050515	0.9557174537
1000944.258	0.4998120385	0	0.5001879615	0.9514797175	0.04789274194	0.9565786607	0.9556910785
1000954.412	0.4998099599	0	0.5001900401	0.9514530492	0.04785945875	0.956552015	0.9556644488
1000964.566	0.4998078812	0	0.5001921188	0.9514261257	0.04782580885	0.9565251145	0.9556375643
1000974.721	0.4998058024	0	0.5001941976	0.9513989469	0.04779179208	0.9564979589	0.9556104251
1000984.876	0.4998037235	0	0.5001962765	0.9513715127	0.04775740828	0.9564705482	0.955583031
1000995.032	0.4998016445	0	0.5001983555	0.9513438229	0.04772265728	0.9564428823	0.9555553819
1001005.189	0.4997995653	0	0.5002004347	0.9513158775	0.04768753893	0.956414961	0.9555274776
1001015.346	0.4997974861	0	0.5002025139	0.9512876764	0.04765205305	0.9563867842	0.9554993182
1001025.503	0.4997954068	0	0.5002045932	0.9512592194	0.0476161995	0.9563583519	0.9554709034
1001035.662	0.4997933274	0	0.5002066726	0.9512305065	0.0475799781	0.9563296638	0.9554422331
1001045.82	0.4997912479	0	0.5002087521	0.9512015375	0.04754338871	0.95630072	0.9554133073
1001055.98	0.4997891683	0	0.5002108317	0.9511723123	0.04750643116	0.9562715203	0.9553841259
1001066.139	0.4997870887	0	0.5002129113	0.9511428308	0.04746910531	0.9562420646	0.9553546887
1001076.3	0.4997850089	0	0.5002149911	0.9511130929	0.04743141098	0.9562123528	0.9553249956
1001086.461	0.4997829291	0	0.5002170709	0.9510830985	0.04739334803	0.9561823847	0.9552950465
1001096.622	0.4997808491	0	0.5002191509	0.9510528476	0.0473549163	0.9561521604	0.9552648414
1001106.784	0.4997787691	0	0.5002212309	0.9510223399	0.04731611564	0.9561216796	0.9552343801
1001116.946	0.499776689	0	0.500223311	0.9509915754	0.0472769459	0.9560909423	0.9552036624
1001127.109	0.4997746089	0	0.5002253911	0.950960554	0.04723740693	0.9560599484	0.9551726884
1001137.272	0.4997725286	0	0.5002274714	0.9509292756	0.04719749857	0.9560286977	0.955141458
1001147.436	0.4997704483	0	0.5002295517	0.95089774	0.04715722068	0.9559971902	0.9551099709
1001157.6	0.4997683679	0	0.5002316321	0.9508659472	0.04711657311	0.9559654258	0.9550782271
1001167.765	0.4997662875	0	0.5002337125	0.9508338972	0.04707555571	0.9559334043	0.9550462265
1001177.93	0.499764207	0	0.500235793	0.9508015897	0.04703416833	0.9559011257	0.9550139691
1001188.095	0.4997621264	0	0.5002378736	0.9507690247	0.04699241083	0.9558685899	0.9549814546
1001198.261	0.4997600457	0	0.5002399543	0.950736202	0.04695028306	0.9558357967	0.954948683
1001208.428	0.499757965	0	0.500242035	0.9507031217	0.04690778488	0.9558027461	0.9549156543
1001218.594	0.4997558842	0	0.5002441158	0.9506697835	0.04686491615	0.955769438	0.9548823683
1001228.762	0.4997538034	0	0.5002461966	0.9506361874	0.04682167672	0.9557358722	0.9548488249
1001238.929	0.4997517225	0	0.5002482775	0.9506023334	0.04677806646	0.9557020488	0.954815024
1001249.097	0.4997496415	0	0.5002503585	0.9505682212	0.04673408521	0.9556679675	0.9547809655
1001259.265	0.4997475605	0	0.5002524395	0.9505338508	0.04668973286	0.9556336283	0.9547466494
1001269.434	0.4997454795	0	0.5002545205	0.9504992222	0.04664500925	0.9555990311	0.9547120755
1001279.603	0.4997433983	0	0.5002566017	0.9504643352	0.04659991424	0.9555641758	0.9546772438
1001289.772	0.4997413172	0	0.5002586828	0.9504291897	0.04655444771	0.9555290624	0.9546421541
1001299.942	0.499739236	0	0.500260764	0.9503937856	0.04650860952	0.9554936906	0.9546068064
1001310.112	0.4997371547	0	0.5002628453	0.9503581229	0.04646239953	0.9554580605	0.9545712006
1001320.282	0.4997350734	0	0.5002649266	0.9503222014	0.04641581761	0.9554221719	0.9545353365
1001330.452	0.4997329921	0	0.5002670079	0.9502860211	0.04636886363	0.9553860248	0.9544992141
1001340.623	0.4997309107	0	0.5002690893	0.9502495818	0.04632153746	0.955349619	0.9544628333
1001350.794	0.4997288293	0	0.5002711707	0.9502128836	0.04627383895	0.9553129545	0.9544261941
1001360.966	0.4997267478	0	0.5002732522	0.9501759262	0.046225768	0.9552760312	0.9543892962
1001371.137	0.4997246663	0	0.5002753337	0.9501387097	0.04617732446	0.955238849	0.9543521397
1001381.309	0.4997225848	0	0.5002774152	0.9501012339	0.04612850822	0.9552014077	0.9543147245
1001391.482	0.4997205033	0	0.5002794967	0.9500634987	0.04607931913	0.9551637075	0.9542770504
1001401.654	0.4997184217	0	0.5002815783	0.950025504	0.04602975709	0.955125748	0.9542391174
1001411.827	0.4997163401	0	0.5002836599	0.9499872499	0.04597982195	0.9550875293	0.9542009254
1001422	0.4997142584	0	0.5002857416	0.9499487361	0.04592951361	0.9550490513	0.9541624743
1001432.173	0.4997121767	0	0.5002878233	0.9499099626	0.04587883194	0.9550103139	0.9541237641
