Oil	Water	Gas	[m3/s]
1.149E-04	1.149E-04	1.149E-04	
1.058E-04	1.058E-04	1.058E-04	
1.005E-04	1.005E-04	1.005E-04	
9.579E-05	9.579E-05	9.579E-05	
9.135E-05	9.135E-05	9.135E-05	
8.757E-05	8.757E-05	8.757E-05	
8.424E-05	8.424E-05	8.424E-05	
8.045E-05	8.045E-05	8.045E-05	
7.778E-05	7.778E-05	7.778E-05	
7.445E-05	7.445E-05	7.445E-05	
7.245E-05	7.245E-05	7.245E-05	
7.023E-05	7.023E-05	7.023E-05	
6.779E-05	6.779E-05	6.779E-05	
6.600E-05	6.600E-05	6.600E-05	
6.334E-05	6.334E-05	6.334E-05	
6.155E-05	6.155E-05	6.155E-05	
5.934E-05	5.934E-05	5.934E-05	
5.755E-05	5.755E-05	5.755E-05	
5.599E-05	5.599E-05	5.599E-05	
5.422E-05	5.422E-05	5.422E-05	
5.266E-05	5.266E-05	5.266E-05	
5.066E-05	5.066E-05	5.066E-05	
4.933E-05	4.933E-05	4.933E-05	
4.843E-05	4.843E-05	4.843E-05	
4.710E-05	4.710E-05	4.710E-05	
4.554E-05	4.554E-05	4.554E-05	
4.487E-05	4.487E-05	4.487E-05	
4.400E-05	4.400E-05	4.400E-05	
4.333E-05	4.333E-05	4.333E-05	
4.244E-05	4.244E-05	4.244E-05	
4.154E-05	4.154E-05	4.154E-05	
4.065E-05	4.065E-05	4.065E-05	
4.021E-05	4.021E-05	4.021E-05	
3.954E-05	3.954E-05	3.954E-05	
3.910E-05	3.910E-05	3.910E-05	
3.844E-05	3.844E-05	3.844E-05	
3.777E-05	3.777E-05	3.777E-05	
3.732E-05	3.732E-05	3.732E-05	
3.688E-05	3.688E-05	3.688E-05	
3.644E-05	3.644E-05	3.644E-05	
3.598E-05	3.598E-05	3.598E-05	
3.576E-05	3.576E-05	3.576E-05	
3.532E-05	3.532E-05	3.532E-05	
3.509E-05	3.509E-05	3.509E-05	
3.465E-05	3.465E-05	3.465E-05	
3.442E-05	3.442E-05	3.442E-05	
3.421E-05	3.421E-05	3.421E-05	
3.398E-05	3.398E-05	3.398E-05	
3.376E-05	3.376E-05	3.376E-05	
3.332E-05	3.332E-05	3.332E-05	
3.332E-05	3.332E-05	3.332E-05	
3.288E-05	3.288E-05	3.288E-05	
3.288E-05	3.288E-05	3.288E-05	
3.265E-05	3.265E-05	3.265E-05	
3.265E-05	3.265E-05	3.265E-05	
3.243E-05	3.243E-05	3.243E-05	
3.221E-05	3.221E-05	3.221E-05	
3.221E-05	3.221E-05	3.221E-05	
3.221E-05	3.221E-05	3.221E-05	
3.199E-05	3.199E-05	3.199E-05	
3.199E-05	3.199E-05	3.199E-05	
3.199E-05	3.199E-05	3.199E-05	
3.199E-05	3.199E-05	3.199E-05	
3.199E-05	3.199E-05	3.199E-05	
3.199E-05	3.199E-05	3.199E-05	
3.199E-05	3.199E-05	3.199E-05	
3.221E-05	3.221E-05	3.221E-05	
3.221E-05	3.221E-05	3.221E-05	
3.243E-05	3.243E-05	3.243E-05	
3.243E-05	3.243E-05	3.243E-05	
3.265E-05	3.265E-05	3.265E-05	
3.288E-05	3.288E-05	3.288E-05	
3.288E-05	3.288E-05	3.288E-05	
3.309E-05	3.309E-05	3.309E-05	
3.332E-05	3.332E-05	3.332E-05	
3.376E-05	3.376E-05	3.376E-05	
3.398E-05	3.398E-05	3.398E-05	
3.442E-05	3.442E-05	3.442E-05	
3.465E-05	3.465E-05	3.465E-05	
3.532E-05	3.532E-05	3.532E-05	
3.576E-05	3.576E-05	3.576E-05	
3.621E-05	3.621E-05	3.621E-05	
3.710E-05	3.710E-05	3.710E-05	
3.732E-05	3.732E-05	3.732E-05	
3.821E-05	3.821E-05	3.821E-05	
3.910E-05	3.910E-05	3.910E-05	
3.998E-05	3.998E-05	3.998E-05	
4.088E-05	4.088E-05	4.088E-05	
4.200E-05	4.200E-05	4.200E-05	
4.310E-05	4.310E-05	4.310E-05	
4.466E-05	4.466E-05	4.466E-05	
4.554E-05	4.554E-05	4.554E-05	
4.710E-05	4.710E-05	4.710E-05	
4.843E-05	4.843E-05	4.843E-05	
5.089E-05	5.089E-05	5.089E-05	
5.332E-05	5.332E-05	5.332E-05	
5.511E-05	5.511E-05	5.511E-05	
5.734E-05	5.734E-05	5.734E-05	
6.000E-05	6.000E-05	6.000E-05	
6.356E-05	6.356E-05	6.356E-05	
