Current time	Newton Iter	Final norm
0.1	4	1.234660638e-008
36.42827752	10	3.087920639e-007
69.27469962	6	2.553170029e-007
113.4890982	5	6.115536475e-007
153.7159663	5	2.607038201e-008
200.4808372	5	1.520661543e-007
259.201483	5	2.735863418e-007
334.8978278	5	1.21527568e-007
435.6942994	6	5.823174081e-008
576.077697	6	7.300120722e-007
754.1261986	7	5.843245259e-008
962.3475472	7	9.050681109e-008
1216.635305	7	7.489515165e-008
1531.189243	7	2.518824518e-008
1889.85345	6	3.612560027e-007
2321.793615	6	3.260263001e-008
2806.828947	5	5.997547404e-007
3362.706725	5	2.851693685e-008
3998.825384	5	7.552997755e-010
4714.827366	4	1.099552723e-007
5515.449863	4	3.532961611e-009
6404.570737	4	8.708939239e-011
7404.570737	4	9.490735155e-012
8404.570737	3	8.275441654e-007
9404.570737	3	1.917214233e-007
10000	3	2.121230786e-008
