Pressure [Pa]	Gas Volume Fraction [-]	Oil Volume Fraction [-]	Water Volume Fraction [-]	Mixture Velocity [m/s]	Gas Velocity [m/s]	Oil Velocity [m/s]	Water Velocity [m/s]
1000000	6.10541348e-008	0.9739036337	0.02609630525	-0.1695959973	-0.7035152357	-0.1695959971	-0.1695959971
1095000.379	6.10541348e-008	0.9739036337	0.02609630525	-0.1695801738	-0.7034962241	-0.1695801738	-0.1695801738
1190010.112	2.093019784e-008	0.9843416784	0.01565830067	-0.1695642239	-0.7034770736	-0.1695642239	-0.1695642239
1285029.673	6.460094905e-009	0.9914985553	0.008501438205	-0.1695481993	-0.7034578405	-0.1695481993	-0.1695481993
1380058.853	1.747319742e-009	0.995928353	0.004071645263	-0.1695321357	-0.7034385631	-0.1695321357	-0.1695321357
1475097.442	3.982970568e-010	0.9983428624	0.001657137173	-0.1695160551	-0.7034192661	-0.1695160551	-0.1695160551
1570145.271	7.190185823e-011	0.9994601602	0.0005398397524	-0.1694999692	-0.703399963	-0.1694999692	-0.1694999692
1665202.224	9.166441948e-012	0.999874008	0.0001259920289	-0.1694838831	-0.7033806597	-0.1694838831	-0.1694838831
1760268.236	6.217329263e-013	0.9999840027	1.599726272e-005	-0.1694677957	-0.7033613549	-0.1694677957	-0.1694677957
1855357.66	7.207482498e-018	0.9999999884	1.162125596e-008	0	0	0	0
